Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage,Node size
Fetch.AI,https://fetch.ai/,"Fetch.AI is an adaptive, self-organizing smart ledger. The protocol is a digital work where autonomous economic agents can perform proactive economic activity.",United Kingdom,General BaaS Platforms,9. Developer Platforms,2017,Nascent,"15,000,000",Series A,70
Intelligo,intelligo.ai,"Intelligo is developing tech that automates background checks. Its product, Clarity, processes sources including premium databases, legal records, news, regulatory data, and social media. Clarity uses AI, machine learning, and text analytics to capture and analyze a sea of high-quality structured and unstructured data points from thousands of sources.",Israel,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Nascent,"21,800,000",Series B,100
Jumio,jumio.com,"Jumio is an identification credentials authentication company that helps businesses reduce fraud, meet regulations, and increase revenue. Jumio utilizes proprietary, computer vision technology and document experts to verify credentials, including passports and driver's licenses issued by over 130 countries.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2012,Mature,"51,710,000",Acquired,100
Numerated,numerated.com,"Numerated makes it easy for businesses to purchase financial products from banks. Its digital lending and sales platform allows banks to create convenient digital application, digital account opening, and digital lending experiences enabled by rich data integrations. In addition, Numerated provides credit pre-screening and core data analysis tools to help banks fuel more targeted sales and marketing campaigns.",United States,Product As A Service,1. Lending,2015,Nascent,"32,000,000",Series B,100
Quanto,quan.to,"Quanto is an open banking platform where banks, fintechs, and their users can connect to each other to share data, build products, and move money around.",Brazil,Data Aggregators,10. Open Banking,2015,Nascent,"15,000,000",Series A,70
Setu,setu.co,"Setu builds Application Programming Interface (API) infrastructure for businesses and developers. It offers open APIs across four categories: bills, savings, credit, and payments. Any developer can access its sandbox to build an application and go through a developer certification program to go live.",India,General BaaS Platforms,9. Developer Platforms,2018,Nascent,"18,500,000",Series A,100
Fraugster,fraugster.com,Fraugster is a German-Israeli anti-fraud company with the goal of eliminating fraud and increasing its customers' profits. Fraugster invented an artificial intelligence technology that combines human-like accuracy with machine scalability. This ability lets Fraugster foresee fraudulent transactions before they actually happen and creates a competitive advantage over other players in the anti-fraud space.,Germany,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Nascent,"19,000,000",Series B,100
Matic,https://matic.com/,"Matic is a communication platform that connects lenders and borrowers originating a new home loan. Matic provides home insurance quotes, thus helping in completing the loan application and home buying process. By integrating with the mortgage lender, Matic reduces the time it takes to get a policy from 2-3 days to as little as 2-3 minutes.",United States,Product As A Service,6. Insurance,2014,Emerging,"31,500,000",Series B,100
SentiLink,sentilink.com,"SentiLink focuses on identity, beginning with financial services in the United States. SentiLink equips users with the tools needed to visualize fraud in any domain - be it money-laundering, contractor fraud, synthetic identities, or classic third-party stolen identities.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2017,Nascent,"14,000,000",Series A,70
Synctera,synctera.com,Synctera is looking to streamline partnerships between community banks and FinTech companies through a two-sided marketplace.,United States,Data Aggregators,11. Other Financial Data,2020,Nascent,"12,400,000",Seed,70
Wise,wise.us,Wise is a digital banking and growth platform for small businesses. The Wise platform integrates with banking technology to offer cloud based products and services that help small businesses grow.,United States,Product As A Service,4. Cards,2018,Nascent,"19,420,000",Series A,100
Modulr,modulrfinance.com,Modulr is an API platform that simplifies complex payment flows enabling businesses to rewire their payment processes to suit them.,United Kingdom,Product As A Service,3. Payments Processing,2016,Emerging,"64,880,000",Series B,100
figo,figo.io,"figo is a banking service provider that makes it easy for businesses to integrate banking functions into their everyday tasks such as automated bookkeeping, simplified credit checks, or account changes.",Germany,Data Aggregators,10. Open Banking,2012,Emerging,"19,040,000",Series C,100
Pangea Money Transfer,pangeamoneytransfer.com,"Pangea Money Transfer is a mobile-first remittance platform that brings a new approach to money transfers by allowing users in the US to send money to countries in Latin America instantly, for a low flat fee.",United States,Product As A Service,2. Payments Initiation,2012,Nascent,"20,420,000",Series B,100
Cobase,cobase.com,"Cobase offers a solution to companies that hold accounts with different banks by developing a multi-bank platform. The solution arranges direct connections with banks, open banking APIs or uses existing networks like SWIFT. In addition to worldwide bank connectivity, the platform's key features include a central payment hub and various cash management and treasury management modules.",Netherlands,Data Aggregators,10. Open Banking,2017,Nascent,"20,110,000",Series A,100
Aire Labs,aire.io,"Aire uses a proprietary artificial intelligence process to allow banks to lend to new, qualified borrowers. The company collects and validates applicant-provided data to evaluate profession, education, and financial knowledge. Lenders can then use this score to evaluate applicants and provide them with credit.",United Kingdom,Product As A Service,1. Lending,2014,Nascent,"19,520,000",Series B,100
Enfuce Financial Services,https://enfuce.com/,Enfuce Financial Services is in cloud-based payment infrastructure.,Finland,Product As A Service,3. Payments Processing,2016,Nascent,"16,600,000",Series A,70
MANTL,mantl.com,MANTL aims to help bank or credit unions grow deposits and streamline back-office tasks with an omni-channel account opening platform that integrates with your core.,United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2016,Nascent,"21,020,000",Series A,100
Volly,myvolly.com,Volly is a component-based platform for the mortgage and banking industries that integrates marketing and customer engagement strategies with lending technologies.,United States,Product As A Service,1. Lending,2013,Emerging,"11,000,000",Series B,70
Cover Genius,covergenius.com,"Cover Genius offers a 'full-stack' insurance distribution platform for mobility, retail, travel, and shared-economy partners. The company's technologies include XCover, a distribution platform providing coverage for any line of insurance in any country, language and currency, and XClaims, an API for instant payment of approved claims, handling tens of thousands of instant claim payments in several currencies via a variety of payment methods.",Australia,Product As A Service,6. Insurance,2014,Mature,"18,000,000",Series C,70
Bumped,bumped.com,Bumped is an app that links to an user's credit or debit card and gives users fractional shares of stock at stores they shop at.,United States,Product As A Service,7. Other (eg. treasury),2017,Nascent,"32,020,000",Series A,100
Mulberry Technology,https://www.getmulberry.com/,Mulberry Technology works with e-commerce brands to embed extended warranty solutions into their customer journey through API and plugins reducing integration times from 3+ months to less than a week.,United States,Product As A Service,6. Insurance,2018,Nascent,"12,880,000",Series A,70
Bambu,https://bambu.co/,"Bambu offers AI-driven white-label robo advisors for financial institutions and wealth managers. It features Bambu Go for automating transactions, Bambu Build for customised solutions to clients, Intelligent Advisor for discovering investment opportunities, Portfolio Builder for developing portfolios, among others.",Singapore,Product As A Service,5. Wealth Management,2016,Emerging,"10,000,000",Series B,70
Belvo,belvo.co,Belvo provides an open banking platform API platform in Latin America that allows users to connect their account to an app.,Spain,Data Aggregators,10. Open Banking,2019,Nascent,"10,150,000",Seed,70
Bloom Credit,bloomcredit.io,"Bloom Credit takes a data-driven approach to improving the financial health and eligibility of loan applicants, using technology to analyze their issues and provide specific guidance that works.",United States,Product As A Service,1. Lending,2016,Nascent,"20,640,000",Series A,100
Cardlay,cardlay.com,"Cardlay offers a single platform to issue, load and manage cards and expenses globally for complete visibility.",Denmark,Product As A Service,2. Payments Initiation,2016,Nascent,"19,000,000",Series B,100
Cardless,cardless.com,"Cardless is helping brands create custom branded loyalty credit cards, with quick program creation and top-notch customer service.",United States,Product As A Service,4. Cards,2019,Nascent,"13,030,000",Series A,70
Plum,withplum.com,"Plum helps users ensure they are saving, investing, and not overpaying bills, by monitoring spending and automatically setting money aside that the user doesn't need. Plum notifies users about balances, gives fast access to savings, and offers tips on how to save more.",United Kingdom,Data Aggregators,10. Open Banking,2016,Nascent,"20,650,000",Series B,100
Rebel,rebel.com.br,Rebel is a Brazilian fintech company offering an online lending platform.,Brazil,Product As A Service,1. Lending,2017,Nascent,"53,900,000",Series B,100
Tesorio,tesorio.com,"Tesorio is a cash flow performance platform that helps finance teams better manage, predict and collect cash. Tesorio's cash flow performance platform applies machine learning to key financial data to help customers with accounts receivable automation including smart workflow tools, predicted pay dates, and automated collections forecasting.",United States,Product As A Service,7. Other (eg. treasury),2013,Nascent,"17,620,000",Series A,70
Qover,qover.com,"Qover is a B2B2C company that provides a suite of insurance products to companies, which companies can append to consumer-facing products. Qover provides cross-industry products and companies that generate extra revenue by offering the insurance product to consumers at the point of sale.",Belgium,Product As A Service,6. Insurance,2016,Nascent,"14,930,000",Series B,70
Final,getfinal.com,"Final is issuing a credit card designed to give consumers total control over their merchant relationships, transparency in spending, and peace of mind across all payment experiences. Rather than a single, static 16-digit card number, Final generates multiple card numbers the consumer can restrict, and manages them automatically.",United States,Product As A Service,4. Cards,2014,Nascent,"10,020,000",Series A,70
Finja,finja.pk,Finja provides a mobile payments platform in Pakistan.,Pakistan,Product As A Service,2. Payments Initiation,2015,Emerging,"14,500,000",Series A,70
Tendermint,https://www.tendermint.com/,"Tendermint runs the Cosmos Network, a decentralized network of independent, scalable and interoperable blockchains.",United States,General BaaS Platforms,9. Developer Platforms,2014,Nascent,"9,000,000",Series A,70
Treasury Prime,treasuryprime.com,"Treasury Prime, a California-based, Y Combinator-backed startup company, offers APIs and platforms for enterprises within the financial sector.",United States,General BaaS Platforms,9. Developer Platforms,2017,Nascent,"9,120,000",Series A,70
Vitesse,vitessepsp.com,"Vitesse provides cross-border payment services to banks and businesses via a globally distributed settlement network. Through a single integration, merchants gain access to domestic routing, leveraging lower payment costs, and deliver payments seamlessly.",United Kingdom,Product As A Service,3. Payments Processing,2013,Nascent,"8,640,000",Series A,70
Griffin,griffin.sh,"Griffin is a wholesale (""infrastructure""​) challenger bank in the UK. It provides a technology platform to fintechs that need custodial accounts and access to interbank payments.",United Kingdom,General BaaS Platforms,9. Developer Platforms,2016,Nascent,"12,500,000",Series A,70
BharatPe,bharatpe.com,BharatPe is an Indian payments company serving offline retailers and businesses. It empowers merchants to accept UPI payments for free through the BharatPe QR. Merchants can sign up instantly and start receiving the funds immediately in their bank account.,India,Product As A Service,2. Payments Initiation,2018,Emerging,"150,700,000",Series C,100
Flinks,flinks.io,"Flinks is a financial data aggregator dedicated to the Canadian market. Flinks allows FinTech companies to connect their apps with customers' banks, allowing them to validate account ownership, verify account balances, or access transaction histories.",Canada,Data Aggregators,11. Other Financial Data,2016,Nascent,"13,650,000",Series A,70
Copper.co,https://copper.co/,"Copper is a custodian for digital assets. Its infrastructure enables institutions to acquire, store, and trade digital assets while its multi-signature safeguarding application allows institutions to have complete certainty that their capital is not at risk of theft, whether it be from hackers or bad players in the industry.",United Kingdom,Transaction Infrastructure,12. Crypto-as-a-service,2018,Nascent,"9,300,000",Series A,70
Sila,silamoney.com,"Sila is a suite of developer tools for building financial applications.  Sila's primary product is an API for identity verification, which the company says empowers developers to identify their users and then use that info in the company's banking API, which allows users to debit their accounts and move funds from one account to another. It is built on top of the Ethereum blockchain technology and is said to be targeting ACH payments and was founded by one of the co-founders of Simple, an early Neobank which ultimately sold to BBVA for $117.",United States,General BaaS Platforms,9. Developer Platforms,2018,Nascent,"7,700,000",Seed,70
Ario,arioplatform.com,"Ario is a digital lending platform targeting SMEs. The Ario lending-as-a-service platform allows enterprises to provide their customers with financing, including invoice financing, payroll financing, and working capital.On November 11th, 2020, Ario was acquired by Thinking Capital. Terms of the transaction were not disclosed.",Canada,Product As A Service,1. Lending,2017,Nascent,"7,550,000",Seed,70
Gig Wage,gigwage.com,Gig Wage is a payments platform geared specifically for independent contractors.,United States,Product As A Service,1. Lending,2014,Nascent,"8,620,000",Series A,70
Upstart,upstart.com,"Upstart (NASDAQ: UPST) is a lending platform that leverages artificial intelligence and machine learning to price credit and automates the borrowing process. In addition to its direct-to-consumer lending platform, Upstart provides technology to banks, credit unions and other partners via a ""Software-as-a-Service"" offering.",United States,Product As A Service,1. Lending,2012,Mature,"642,230,000",Public,150
Brite,britepaymentgroup.com,Brite allows customers to easily make payments from their bank accounts in minutes.,Sweden,Product As A Service,2. Payments Initiation,2019,Nascent,"6,720,000",Seed,70
Onfido,onfido.com,Onfido delivers an AI-based technology with facial biometrics to assess whether a user's government-issued ID is genuine or fraudulent.,United Kingdom,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2012,Mature,"216,140,000",Series D,150
Credit Kudos,creditkudos.com,"Credit Kudos is a Credit Reference Agency that sells credit scores to United Kingdom lenders. Credit Kudos uses open banking and PSD2 data to increase accuracy, whilst widening the pool of borrowers to those previously excluded by traditional credit scoring methods.",United Kingdom,Data Aggregators,10. Open Banking,2015,Nascent,"9,950,000",Series A,70
KNØX Custody,https://www.knoxcustody.com/,KNØX is a digital asset custodian to provide clients with dedicated allocations of protection with 100% coverage of the asset value held in custody.,Canada,Transaction Infrastructure,12. Crypto-as-a-service,2019,Nascent,"6,200,000",Seed,70
Upvest,upvest.co,"Upvest provides a decentralized, cloud-hosted wallet for digital currencies including ICOs.",Germany,General BaaS Platforms,9. Developer Platforms,2017,Nascent,"14,860,000",Series A,70
Bdeo,https://bdeo.io/,"Bdeo leverages artificial intelligence to digitize the interaction between insurance companies and policyholders, offering a comprehensive solution that spans from automatic policy subscription to the digitalization of claims management through automatic damage detection.",Spain,Product As A Service,6. Insurance,2017,Nascent,"7,070,000",Series A,70
Youtility,youtility.co.uk,"Youtility is an open-banking enabled home finance tech platform that allows banks to connect their customers with personalized home services contracts best suited to their needs, offering customers enhanced control over their core financial outgoings.",United Kingdom,Data Aggregators,11. Other Financial Data,2016,Nascent,"5,820,000",Seed,70
Mooncard,mooncard.co,Mooncard develops a debit card offering parameters that can be adjusted remotely and software that simplifies administrative procedures related to business expenses. Mooncard eliminates expense claims by automating their processing.,France,Product As A Service,4. Cards,2016,Nascent,"6,820,000",Series B,70
Tribal Credit,tribal.credit,"Tribal Credit is a business credit card specially designed to meet the needs of underserved startups in emerging markets. Its AI-driven approval process and blockchain technology give startups instant access to credit, complete control over their spending, and token-based financial rewards.",United States,Product As A Service,4. Cards,2016,Nascent,"6,700,000",Seed,70
Orum,orum.io,Orum offers a platform that helps financial institutions move money and predict funds.,United States,General BaaS Platforms,9. Developer Platforms,2019,Nascent,"5,200,000",Seed,70
WeTrust,wetrust.io,"Operator of a collaborative lending and insurance platform. The company provides collaborative lending and insurance platform built on the blockchain, featuring community based form of credit scores, insurance, and banking. It also provides reciprocal aid based financial services, such as mutual insurance funds and peer to peer (P2P) lending.",United States,Product As A Service,6. Insurance,2016,Nascent,"5,000,000",Series A,70
Zestful,zestful.com,Zestful is an employee perk card that looks and works like a pre-loaded debit card but only works on the products within the Zestful Catalog and only up to a monthly allowance.,United States,Product As A Service,4. Cards,2016,Nascent,"8,220,000",Seed,70
Blender,http://blender.global/,Blender is a peer-to-peer lending platform that provides cross-border lending services.,Israel,Product As A Service,1. Lending,2014,Nascent,"43,000,000",Series C,100
Penta Fintech,getpenta.com,"Penta is a digital bank account for SMEs and startups offering multiple Mastercards per company, low foreign transfer rates, fast online support in English & German, flexible pricing, and more.",Germany,Data Aggregators,10. Open Banking,2016,Nascent,"44,690,000",Series B,100
Wirex,wirexapp.com,"Wirex, formerly E-Coin, is a hybrid personal banking solution. The company combines the speed and flexibility of blockchain finance with the acceptance of traditional currency - all in one account. Wirex offers secure bitcoin wallets linked to Visa and MasterCard debit cards, supported by online and mobile applications.",United Kingdom,Product As A Service,4. Cards,2014,Emerging,"7,350,000",Seed,70
Trovata,trovata.io,"Trovata is cash automation software for the treasury management market. Trovata lets finance and treasury teams access, build, manage, and control their own trove of financial data from banks, business and accounting systems, and external markets.",United States,Data Aggregators,10. Open Banking,2016,Nascent,"9,800,000",Seed,70
Gro Solutions,grobanking.com,"Gro Solutions provides a digital sales platform to drive acquisition growth for banks and credit unions, across all channels of their business. The Gro Sales Platform features software solutions designed to optimize both the financial institution and end user experience for digital sales tasks, such as account opening and loan origination.",United States,Product As A Service,7. Other (eg. treasury),2015,Nascent,"4,250,000",Series A,70
Flume Health,https://flumehealth.com/,"Flume Health focuses on lowering the cost of medical care and delivering a personalized patient experience. Its human healthcare concierge service finds patients highly-rated providers, personally books their appointments, and answers all questions along the way.",United States,Product As A Service,6. Insurance,2017,Nascent,"4,150,000",Seed,70
Allied Payment Network,alliedpayment.com,Allied Payment Network offers online bill payment service to financial institutions including banks and credit unions as well as directly to consumers. The company delivers simple and accurate bill pay services to Institutions at a cost that allows for an aggressive attitude toward bill pay adoption in order to enjoy a deeper relationship with your customers.,United States,Product As A Service,3. Payments Processing,2010,Emerging,"6,610,000",Series A,70
Neat,neat.hk,"Neat is an AI powered mobile personal financial assistant for millennials. The Neat Business dashboard gives users an overview of the state of all finances and features mechanisms for receiving payments, payroll, and expense management.",Hong Kong,Data Aggregators,10. Open Banking,2015,Nascent,"20,030,000",Series A,100
Stonestep,https://www.stonestep.ch/,"Stonestep is a Swiss-based insurtech firm that is changing how insurance is delivered in emerging markets. With its 'Microinsurance as a Service' platform, Stonestep enables mobile network operators, retailers and other corporations to easily diversify their services and generate additional revenue, by offering risk products designed to address the needs of first-generation insurance customers at an affordable price.",Switzerland,Product As A Service,6. Insurance,2012,Nascent,"4,000,000",Series A,70
Weavr,https://www.weavr.io/,"Weavr Payments is a cloud-based virtual card payment solution for innovators & payment providers. It offers virtual cards for business payouts, consumer payments, and business purchasing. It provides API keys to configure and develop the pre-built payment templates. It can be embedded in consumer applications and can be used to drive business processes. The pricing is available on a monthly subscription plan.",England,Product As A Service,4. Cards,2018,Nascent,"4,650,000",Seed,70
Paytient,https://www.paytient.co/,"Paytient enables employees to pay any medical, dental, vision or vet bill over time.",United States,Product As A Service,7. Other (eg. treasury),2018,Nascent,"3,860,000",Seed,70
Open Payments,openpayments.io,"Open Payments provides the infrastructure required for successful Open Banking. The Open Payments Platform is a PSD2 compliant API aggregation platform that offers a single, open and secure point of access to the diverse bank API networks throughout Europe and also connects partner services like lending, currency and virtual banks.",Sweden,Data Aggregators,10. Open Banking,2017,Nascent,"5,800,000",Seed,70
WeGroup,https://www.wegroup.be/en/home,WeGroup is a Belgian InsurTech startup that helps insurance providers all over the world to better connect with their digital customers.,Belgium,Product As A Service,6. Insurance,2017,Nascent,"7,220,000",Series A,70
Lean Technologies,https://www.leantech.me/,"Lean Technologies provides banking APIs for developers, enabling them to build applications that securely access financial data in real time.",Saudi Arabia,General BaaS Platforms,9. Developer Platforms,2019,Nascent,"3,500,000",Seed,70
Nav Technologies,nav.com,"Nav fka Creditera helps business owners get more funding, lower their costs, and save time so they can create the business of their dreams. Its app gives free access to credit reports and scores specifically for small business owners, including both business and personal credit reports, cash-flow analysis, tools to help build business credit, and a marketplace of financing products, including credit cards. Its marketplace uses a lender-neutral algorithm to help business owners find financing options for their needs.",United States,Product As A Service,1. Lending,2012,Nascent,"101,600,000",Series D,100
Riskalyze,riskalyze.com,"Riskalyze empowers investment advisors to capture a quantitative measurement of client risk tolerance, and use that data to win new clients, capture and meet expectations, and quantify suitability. Riskalyze provides its technology to licensed investment advisors in the United States, who use it to capture risk tolerance and quantify suitability for their clients.",United States,Data Aggregators,11. Other Financial Data,2011,Mature,"27,040,000",Series A,100
Roostify,roostify.com,"Roostify provides a cloud-based digital lending platform, which enables mortgages to be done via smartphone, customers and lenders to accelerate the home loan experience improving speed, eliminating paper as well as simplifying the process to reduce costs.",United States,Product As A Service,1. Lending,2012,Emerging,"33,710,000",Series B,100
Trunomi,trunomi.com,"Trunomi provides customer consent and data rights management technology, which enables businesses to request, receive and capture customer consent to the use of their personal data. For the business, Trunomi creates consent receipts and convert them to customer data rights, which are accessible across all data systems. The company enables businesses to comply with regulations (EU GDPR) and data privacy laws and replace inefficient and costly legacy approaches. For the customer, Trunomi provides control and transparency over how their personal data is used.",United Kingdom,Data Aggregators,11. Other Financial Data,2013,Nascent,"9,540,000",Seed,70
Secure,https://www.securesave.co/,Secure helps enable emergency savings accounts.,United States,Product As A Service,7. Other (eg. treasury),2020,Nascent,"3,500,000",Seed,70
Mynt,mynt.se,"Mynt is a fully digital product that offers small businesses financing through a data driven credit scoring model. Approved businesses receive a revolving credit, that can be used as either invoice financing or as a business loan. While the concept of small business loans or invoice financing is not new, we have built a digital tool with a high credit scoring and fraud prevention, which is unique both in Sweden and Europe.",Sweden,Product As A Service,1. Lending,2017,Nascent,"6,070,000",Series B,70
Codat,codat.io,Codat builds developer-friendly infrastructure that gives businesses the ability to create their own products.,United Kingdom,Data Aggregators,10. Open Banking,2017,Nascent,"19,610,000",Series A,100
Ezbob,ezbob.com,"Ezbob is an online financing company dedicated to supporting SME growth. The e-lender's fully automated smart lending platform links directly to a business' key data sources, such as cloud-based accounting services, tax reports and bank statements, to make up-to-date and rapid lending decisions based on the business' performance.",United Kingdom,Product As A Service,1. Lending,2011,Emerging,"169,600,000",Series C,100
Previse,previ.se,Previse uses machine learning to deliver instant payments to small businesses supplying large corporations.,United Kingdom,Product As A Service,3. Payments Processing,2016,Nascent,"25,000,000",Seed,100
SWAP,swap.financial,"SWAP provides a mobile platform for making payments, spending money, and receiving money.",Brazil,Product As A Service,4. Cards,2018,Nascent,"3,300,000",Seed,70
QRails,https://qrails.com/,QRails is a payments processor for card issuers.,United States,Product As A Service,3. Payments Processing,2016,Emerging,"24,290,000",Series A,100
Band Protocol,https://bandprotocol.com/,Band Protocol is a blockchain-based information curation platform. Band Protocol offers users an opportunity to create a token-curated community that's specific on a topic or category. Users issue personalized tokens as an incentive to encourage data and information curation within that community.,Thailand,Transaction Infrastructure,12. Crypto-as-a-service,2017,Nascent,"3,000,000",Seed,70
CreditVidya,creditvidya.com,"CreditVidya is a platform that provides AI-powered credit underwriting APIs to NBFCs, other financial institutions and companies. CreditVidya helps lenders make critical decisions based on credit scores assigned to new-to-credit and thin file customers through non-traditional data sources.",India,Product As A Service,1. Lending,2012,Nascent,"10,150,000",Series B,70
Minka,minka.io,"Minka is an open banking cloud that allows users to connect to banks and other financial service providers, as well as build financial products in a short time.",Colombia,General BaaS Platforms,9. Developer Platforms,2016,Nascent,"3,000,000",Seed,70
Signzy,signzy.com,"Signzy offers an API solution that enables Bank Grade digital on-boarding in real-time, using artificial intelligence and advanced cryptography.",India,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2015,Emerging,"12,350,000",Series B,70
Banked,banked.com,"Banked is a British fintech focused on working with financial data to act as a channel between banks, businesses and individuals to use data securely, enriching user experience whilst maintaining privacy and control for the customer.",United Kingdom,Product As A Service,2. Payments Initiation,2018,Nascent,"4,810,000",Seed,70
Coconut Banking,getcoconut.com,"Coconut Banking is a mobile bank app for freelancers and self-employed people. It works out taxes, tracks expenses, and helps businesses get paid on time. It features a running tax bill with real-time previews of the user's tax assessment to avoid surprises at the end of the year.",United Kingdom,Data Aggregators,11. Other Financial Data,2016,Nascent,"3,240,000",Seed,70
Rebank Technologies,rebanknow.com,"Rebank is an automation tool for business banking that works with any bank and/or multiple banks at once. Rebank learns about banking workflow, providing real-time alerts and task prediction.",United Kingdom,Data Aggregators,10. Open Banking,2018,Nascent,"2,950,000",Seed,70
Cybertonica,cybertonica.com,"Cybertonica provides a cloud risk intelligence hub for merchants, PSPs and financial institutions. It aims to decrease the number of fraud transactions and charge-backs, and increase site conversion with unique machine learning models, online behaviour analysis and biometric fingerprint profiling of Internet users.",United Kingdom,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2015,Nascent,"2,750,000",Series A,70
Conta Simples,contasimples.com,"Conta Simples is a digital bank account for SMEs in Brazil. It helps SMEs manage their payments, offering a complete solution with multiple corporate cards and financial tools.",Brazil,Product As A Service,4. Cards,2018,Nascent,"2,630,000",Seed,70
LendingPoint,loanhero.com,"LoanHero has developed a lending platform providing a financing option for the consumer, merchant and lender at the point of sale. Through the integration of strategic lending partners in combination with a unique balance sheet/peer-to-peer structure, LoanHero is able to offer the most competitive loan product available for all levels of credit through one streamlined platform. LoanHero empowers merchants and lenders alike to become a Hero to the consumers they serve.",United States,Product As A Service,1. Lending,2014,Emerging,"25,180,000",Seed,100
Perch,getperch.app,Perch helps users build their credit score by turning recurring payments (like rent) into credit payments.,United States,Data Aggregators,10. Open Banking,2019,Nascent,"2,630,000",Seed,70
Xfers,xfers.com,"Xfers provides businesses in South East Asia with the ability to collect both credit card and internet banking payments, and lets customers make purchases online using only their phone number.",Singapore,Product As A Service,4. Cards,2014,Nascent,"2,620,000",Seed,70
Productfy,productfy.io,Productfy offers a technology platform that enables fintech companies to build common features via a single API.,United States,General BaaS Platforms,9. Developer Platforms,2018,Nascent,"2,350,000",Seed,70
Mitto,getmitto.com,Mitto offers a digital wallet for spending online or offline. Parents can send instant money to their children by topping up the wallet and get an overview of their purchasing profile.,Spain,Product As A Service,2. Payments Initiation,2019,Nascent,"2,200,000",Seed,70
ClickSWITCH,clickswitch.com,"ClickSWITCH is an automated account holder acquisition technology for financial institutions and neobanks that simplifies the process of bringing new depositors onboard by quickly, safely and efficiently switching their direct deposits and recurring payments from their old accounts to new ones.",United States,Product As A Service,3. Payments Processing,2014,Nascent,"18,500,000",Series B,100
Trade Ledger,tradeledger.io,"Trade Ledger is a corporate banking platform that assists banks, lenders and financial services organizations in fast-track economic growth. Trade Ledger offers a complete digital business lending operation with a channel to support all major types of cash flow lending products.",United Kingdom,Product As A Service,1. Lending,2016,Nascent,"2,950,000",Series A,70
Salv,salv.com,"Salv offers a smart AML platform that covers online transactions screening, offline monitoring, sanctions screening, risk-based approach & governance.",Estonia,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2018,Nascent,"3,820,000",Seed,70
Unnax,unnax.com,"Unnax is a banking-as-a-service platform that enables businesses to access financial-related data from their customers in a simple and secure way. The company offers a range of products that help solve common business problems and provides improved customer experiences through modern payment solutions, rich financial data, and intelligent risk and identity tools.",Spain,Product As A Service,7. Other (eg. treasury),2015,Nascent,"1,770,000",Seed,70
VibePay,vibepay.com,VibePay is a payment platform that is powered by open banking and enables secure direct-from-bank payments.,United Kingdom,Product As A Service,2. Payments Initiation,2017,Nascent,"1,560,000",Seed,70
Dwolla,dwolla.com,"Dwolla offers a payment network that allows anyone to send, request and accept money. The company's platform securely connects to bank accounts and features a dashboard that allows businesses to manage users, transfers, and identify business trends.",United States,Product As A Service,2. Payments Initiation,2010,Emerging,"52,600,000",Series D,100
Sezzle,sezzle.com,"Sezzle is an alternative payment platform that increases sales and basket sizes by enabling interest-free installment plans at online stores. Consumers pay over time, but our merchant partners are paid upfront, eliminating risk of fraud or non-payment.",United States,Product As A Service,7. Other (eg. treasury),2016,Emerging,"118,270,000",Public,100
Particeep,https://www.particeep.com/en,"Particeep offers banks, insurance companies, management companies and their distributors solutions to market their products online and simplify their API exposure to third-party distributors.",France,Data Aggregators,11. Other Financial Data,2013,Nascent,"2,600,000",Seed,70
Neosurance,https://www.neosurance.eu/,"Neosurance offers AI and machine learning powered solutions for insurance companies to enable the sale of instant micro policies. Through the Neosurance solution, the insurer can send the right insurance offer when the client needs it. A personalized notification is sent to the smartphone of the potential customer proposing to cover a specific event for a short period of time.",Italy,Product As A Service,6. Insurance,2016,Nascent,"2,340,000",Seed,70
Stratumn,https://www.stratumn.com/,"Stratumn helps developers build trustworthy applications enabled by Blockchain features. The company's goal is to automate the auditing process, eliminate errors and fraud and enable smart workflows, processes that are cryptographically written, executed and verified.",France,General BaaS Platforms,9. Developer Platforms,2015,Nascent,"10,000,000",Series A,70
Okra,okra.ng,"Okra develops a secure portal and process to exchange financial information back and forth between customers, applications, and banks.",Nigeria,General BaaS Platforms,9. Developer Platforms,2019,Nascent,"1,000,000",Seed,70
Starburst Labs,starburstlabs.com,"Starburst Labs creates, designs, develops, and operates a vertically aligned stack of vertical SaaS products that connect financial professionals with investing consumers. With a focus on simplicity and usability, its online products make use of modern design and development practices and reflect the growing consumerization of the financial enterprise.",United States,Product As A Service,5. Wealth Management,2013,Nascent,"11,900,000",Series A,70
Teller,teller.io,"Teller provides an API for bank accounts. It enables applications to connect with all of the user's bank accounts across institutions, providing one API to move money, make payments, view transactions, and more. Teller provides a suite of APIs allowing the user to not only build applications that can read data from bank accounts but also applications that perform write operations, e.g. making payments.",United Kingdom,Data Aggregators,11. Other Financial Data,2014,Nascent,"5,190,000",Seed,70
